"trial_id","id","choice","n_draws","correct","decision_rt","ut_confidence","ut_reas_conf","ut_unpleasantness","trial_index","n_tests_all","tests_all","n_tests_att1","tests_att1","n_tests_att2","tests_att2","rule_att1","rule_att2","rule_att1_cert","rule_att2_cert","rule_guess_rt_att1","rule_guess_rt_att2","alt_rule_1","alt_rule_2","alt_rule_3","alt_rule_4","alt_rule_5","alt_rule_6","ius_p_1","ius_p_2","ius_p_3","ius_p_4","ius_p_5","ius_p_6","ius_p_7","ius_i_1","ius_i_2","ius_i_3","ius_i_4","ius_i_5","er_prg_1","er_md_1","er_ac_1","er_d_1","er_bd_1","er_md_2","er_p_1","er_bd_2","er_ac_2","er_d_2","er_prg_2","er_md_3","er_p_2","er_bd_3","er_prg_3","er_p_3","er_d_3","er_md_4","er_ac_3","er_bd_4","er_p_4","er_d_4","er_ac_4","er_prg_4","er_r_1","er_r_2","er_r_3","er_r_4","att_check_response","att_check_other_text","ius_p","ius_i","er_md","er_prg","er_ac","er_p","er_bd","er_d","er_r","er_avoid","er_engage","ius","ind","posterior","max_post","trial_diff","ut_log","ius_group","er_engage_group","er_avoid_group","er_r_group","er_prg_group","ut_conf","ut_conf_reas","ius_c","er_avoid_c","er_engage_c","er_prg_c","er_r_c","trial_ind","ut_score","ut_score_6","ut_score_567","ut_score_56","alt_rules","ut_unpl_any","ut_unpl_vals","p1_eng","p2_dis","p3_r","ius_i_c","ius_p_c","ius_s","ius_i_s","ius_p_s","er_avoid_s","er_engage_s","er_prg_s","er_r_s","ut_conf_scaled","ut_conf_diff","cor_att1","cor_att2"
"b50_y30_r20","558b20eefdf99b7dfdbac3c9","HARVESTWELL",4,1,29319.799999952,38,55,31,20,0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[]","add two","This group of numbers 2 4 6",50,48,24275,20896.899999857,"add 2","even numbers",NA,NA,NA,NA,2,4,3,3,3,2,3,3,2,3,2,2,3,3,2,0,0,2,3,1,2,1,1,0,3,1,3,3,1,0,2,0,2,1,2,2,2,2,1,1,"other","I have read this",0.714285714285714,0.6,0.416666666666667,0.75,0.666666666666667,0.916666666666667,0.166666666666667,0.25,0.5,0.291666666666667,0.791666666666667,0.666666666666667,1,0.625,0.8223684,0.6,0.204119982655925,"high","high","low","low","high",0.69,0.775,0.140833333333333,-0.0202083333333333,0.0639583333333333,0.0675,-0.0116666666666667,"1",0.0875369020986409,0.204119982655925,0.178521647113504,0.142843734061956,2,1,31,0.308585641826985,-0.159465718769214,-0.0324216956690423,0.217,0.0864285714285714,0.740082923643071,0.838915346941241,0.477623895059724,-0.119356910023029,0.301868126327325,0.291347661837388,-0.0502378241703631,0.38,0.0850000000000001,0,0
"b35_y45_r20","558b20eefdf99b7dfdbac3c9","MAIZELEAF",12,1,56876.200000048,16,49,81,23,0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[]","add two","This group of numbers 2 4 6",50,48,24275,20896.899999857,"add 2","even numbers",NA,NA,NA,NA,2,4,3,3,3,2,3,3,2,3,2,2,3,3,2,0,0,2,3,1,2,1,1,0,3,1,3,3,1,0,2,0,2,1,2,2,2,2,1,1,"other","I have read this",0.714285714285714,0.6,0.416666666666667,0.75,0.666666666666667,0.916666666666667,0.166666666666667,0.25,0.5,0.291666666666667,0.791666666666667,0.666666666666667,1,0.5625,0.6230769,0.777777777777778,0.2498774732166,"high","high","low","low","high",0.58,0.745,0.140833333333333,-0.0202083333333333,0.0639583333333333,0.0675,-0.0116666666666667,"2",0.0875369020986409,0.204119982655925,0.178521647113504,0.142843734061956,2,1,81,0.308585641826985,-0.159465718769214,-0.0324216956690423,0.217,0.0864285714285714,0.740082923643071,0.838915346941241,0.477623895059724,-0.119356910023029,0.301868126327325,0.291347661837388,-0.0502378241703631,0.16,0.165,0,0
"b70_y10_r20","558b20eefdf99b7dfdbac3c9","WAKESOIL",5,1,22663.299999952,55,54,49,26,0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[]","add two","This group of numbers 2 4 6",50,48,24275,20896.899999857,"add 2","even numbers",NA,NA,NA,NA,2,4,3,3,3,2,3,3,2,3,2,2,3,3,2,0,0,2,3,1,2,1,1,0,3,1,3,3,1,0,2,0,2,1,2,2,2,2,1,1,"other","I have read this",0.714285714285714,0.6,0.416666666666667,0.75,0.666666666666667,0.916666666666667,0.166666666666667,0.25,0.5,0.291666666666667,0.791666666666667,0.666666666666667,1,0.98,1,0.142857142857143,0.00877392430750515,"high","high","low","low","high",0.775,0.77,0.140833333333333,-0.0202083333333333,0.0639583333333333,0.0675,-0.0116666666666667,"3",0.0875369020986409,0.204119982655925,0.178521647113504,0.142843734061956,2,1,49,0.308585641826985,-0.159465718769214,-0.0324216956690423,0.217,0.0864285714285714,0.740082923643071,0.838915346941241,0.477623895059724,-0.119356910023029,0.301868126327325,0.291347661837388,-0.0502378241703631,0.55,-0.005,0,0
"b20_y60_r20","558b20eefdf99b7dfdbac3c9","TALLGRAIN",8,1,30006.400000095,37,48,45,29,0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[]","add two","This group of numbers 2 4 6",50,48,24275,20896.899999857,"add 2","even numbers",NA,NA,NA,NA,2,4,3,3,3,2,3,3,2,3,2,2,3,3,2,0,0,2,3,1,2,1,1,0,3,1,3,3,1,0,2,0,2,1,2,2,2,2,1,1,"other","I have read this",0.714285714285714,0.6,0.416666666666667,0.75,0.666666666666667,0.916666666666667,0.166666666666667,0.25,0.5,0.291666666666667,0.791666666666667,0.666666666666667,1,0.9,0.9998476,0.333333333333333,0.0457574905606751,"high","high","low","low","high",0.685,0.74,0.140833333333333,-0.0202083333333333,0.0639583333333333,0.0675,-0.0116666666666667,"4",0.0875369020986409,0.204119982655925,0.178521647113504,0.142843734061956,2,1,45,0.308585641826985,-0.159465718769214,-0.0324216956690423,0.217,0.0864285714285714,0.740082923643071,0.838915346941241,0.477623895059724,-0.119356910023029,0.301868126327325,0.291347661837388,-0.0502378241703631,0.37,0.0549999999999999,0,0
"b15_y65_r20","558b20eefdf99b7dfdbac3c9","GOLDLEAF",7,1,25139.299999952,48,51,45,32,0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[]","add two","This group of numbers 2 4 6",50,48,24275,20896.899999857,"add 2","even numbers",NA,NA,NA,NA,2,4,3,3,3,2,3,3,2,3,2,2,3,3,2,0,0,2,3,1,2,1,1,0,3,1,3,3,1,0,2,0,2,1,2,2,2,2,1,1,"other","I have read this",0.714285714285714,0.6,0.416666666666667,0.75,0.666666666666667,0.916666666666667,0.166666666666667,0.25,0.5,0.291666666666667,0.791666666666667,0.666666666666667,1,0.949438202247191,0.999992,0.230769230769231,0.0225332976952204,"high","high","low","low","high",0.74,0.755,0.140833333333333,-0.0202083333333333,0.0639583333333333,0.0675,-0.0116666666666667,"5",0.0875369020986409,0.204119982655925,0.178521647113504,0.142843734061956,2,1,45,0.308585641826985,-0.159465718769214,-0.0324216956690423,0.217,0.0864285714285714,0.740082923643071,0.838915346941241,0.477623895059724,-0.119356910023029,0.301868126327325,0.291347661837388,-0.0502378241703631,0.48,0.015,0,0
"b25_y55_r20","558b20eefdf99b7dfdbac3c9","STRONGLEAF",10,1,36274.200000048,32,43,48,35,0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[]","add two","This group of numbers 2 4 6",50,48,24275,20896.899999857,"add 2","even numbers",NA,NA,NA,NA,2,4,3,3,3,2,3,3,2,3,2,2,3,3,2,0,0,2,3,1,2,1,1,0,3,1,3,3,1,0,2,0,2,1,2,2,2,2,1,1,"other","I have read this",0.714285714285714,0.6,0.416666666666667,0.75,0.666666666666667,0.916666666666667,0.166666666666667,0.25,0.5,0.291666666666667,0.791666666666667,0.666666666666667,1,0.828767123287671,0.9141484,0.454545454545455,0.081567485467987,"high","high","low","low","high",0.66,0.715,0.140833333333333,-0.0202083333333333,0.0639583333333333,0.0675,-0.0116666666666667,"6",0.0875369020986409,0.204119982655925,0.178521647113504,0.142843734061956,2,1,48,0.308585641826985,-0.159465718769214,-0.0324216956690423,0.217,0.0864285714285714,0.740082923643071,0.838915346941241,0.477623895059724,-0.119356910023029,0.301868126327325,0.291347661837388,-0.0502378241703631,0.32,0.0549999999999999,0,0
"b75_y05_r20","558b20eefdf99b7dfdbac3c9","SHADESEED",7,1,24518.099999905,55,51,53,38,0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""}]",0,"[]","add two","This group of numbers 2 4 6",50,48,24275,20896.899999857,"add 2","even numbers",NA,NA,NA,NA,2,4,3,3,3,2,3,3,2,3,2,2,3,3,2,0,0,2,3,1,2,1,1,0,3,1,3,3,1,0,2,0,2,1,2,2,2,2,1,1,"other","I have read this",0.714285714285714,0.6,0.416666666666667,0.75,0.666666666666667,0.916666666666667,0.166666666666667,0.25,0.5,0.291666666666667,0.791666666666667,0.666666666666667,1,0.999703791469194,1,0.0666666666666667,0.000128660786573724,"high","high","low","low","high",0.775,0.755,0.140833333333333,-0.0202083333333333,0.0639583333333333,0.0675,-0.0116666666666667,"7",0.0875369020986409,0.204119982655925,0.178521647113504,0.142843734061956,2,1,53,0.308585641826985,-0.159465718769214,-0.0324216956690423,0.217,0.0864285714285714,0.740082923643071,0.838915346941241,0.477623895059724,-0.119356910023029,0.301868126327325,0.291347661837388,-0.0502378241703631,0.55,-0.02,0,0
"b20_y60_r20","5981b8259c83ca00012bddcb","TALLGRAIN",11,1,54249.699999928,85,100,0,23,3,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""},{""numbers"":[8,10,12],""theory"":""To determine if the robot is activated via even numbers."",""result"":""yes""},{""numbers"":[1,3,5],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""},{""numbers"":[1,2,3],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""}]",3,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""},{""numbers"":[8,10,12],""theory"":""To determine if the robot is activated via even numbers."",""result"":""yes""},{""numbers"":[1,3,5],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""},{""numbers"":[1,2,3],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""}]",0,"[]","The robot gets activated with numbers that are low to high such as 1, 2, and 3.","Numbers that are low to high.",95,95,127264.89999998,51324.399999976,"Even numbers","Series of numbers from low to high",NA,NA,NA,NA,1,2,2,2,2,1,2,0,0,0,0,0,3,0,3,0,0,0,3,0,2,0,2,0,3,0,3,3,0,0,3,0,3,0,3,3,3,0,3,0,"other","I have read this",0.428571428571429,0,0,0.916666666666667,0.916666666666667,1,0,0,0.5,0,0.958333333333333,0.25,10,0.995901639344262,0.9998476,0.333333333333333,0.00178355274041722,"low","high","low","low","high",0.925,1,-0.275833333333333,-0.311875,0.230625,0.234166666666667,-0.0116666666666667,"1",0.0625165284337389,0.0529246837077285,0.145174054946566,0.0672460845878578,2,0,NA,0.98956163154493,-1.66595859106085,-0.441369128353901,-0.383,-0.199285714285714,-1.44951152500507,-1.48066625750459,-1.10129807207986,-1.8420339619018,1.08849516561677,1.01072460464575,-0.0502378241703631,0.85,0.075,1,1
"b50_y30_r20","5981b8259c83ca00012bddcb","HARVESTWELL",16,1,64602.800000072,80,95,0,26,3,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""},{""numbers"":[8,10,12],""theory"":""To determine if the robot is activated via even numbers."",""result"":""yes""},{""numbers"":[1,3,5],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""},{""numbers"":[1,2,3],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""}]",3,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""},{""numbers"":[8,10,12],""theory"":""To determine if the robot is activated via even numbers."",""result"":""yes""},{""numbers"":[1,3,5],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""},{""numbers"":[1,2,3],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""}]",0,"[]","The robot gets activated with numbers that are low to high such as 1, 2, and 3.","Numbers that are low to high.",95,95,127264.89999998,51324.399999976,"Even numbers","Series of numbers from low to high",NA,NA,NA,NA,1,2,2,2,2,1,2,0,0,0,0,0,3,0,3,0,0,0,3,0,2,0,2,0,3,0,3,3,0,0,3,0,3,0,3,3,3,0,3,0,"other","I have read this",0.428571428571429,0,0,0.916666666666667,0.916666666666667,1,0,0,0.5,0,0.958333333333333,0.25,10,0.885269121813031,0.8223684,0.6,0.0529246837077285,"low","high","low","low","high",0.9,0.975,-0.275833333333333,-0.311875,0.230625,0.234166666666667,-0.0116666666666667,"2",0.0625165284337389,0.0529246837077285,0.145174054946566,0.0672460845878578,2,0,NA,0.98956163154493,-1.66595859106085,-0.441369128353901,-0.383,-0.199285714285714,-1.44951152500507,-1.48066625750459,-1.10129807207986,-1.8420339619018,1.08849516561677,1.01072460464575,-0.0502378241703631,0.8,0.075,1,1
"b70_y10_r20","5981b8259c83ca00012bddcb","WAKESOIL",12,1,49933.399999976,90,100,0,29,3,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""},{""numbers"":[8,10,12],""theory"":""To determine if the robot is activated via even numbers."",""result"":""yes""},{""numbers"":[1,3,5],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""},{""numbers"":[1,2,3],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""}]",3,"[{""numbers"":[2,4,6],""theory"":""Given example"",""result"":""yes""},{""numbers"":[8,10,12],""theory"":""To determine if the robot is activated via even numbers."",""result"":""yes""},{""numbers"":[1,3,5],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""},{""numbers"":[1,2,3],""theory"":""To determine if the robot is activated via low to high numbers."",""result"":""yes""}]",0,"[]","The robot gets activated with numbers that are low to high such as 1, 2, and 3.","Numbers that are low to high.",95,95,127264.89999998,51324.399999976,"Even numbers","Series of numbers from low to high",NA,NA,NA,NA,1,2,2,2,2,1,2,0,0,0,0,0,3,0,3,0,0,0,3,0,2,0,2,0,3,0,3,3,0,0,3,0,3,0,3,3,3,0,3,0,"other","I have read this",0.428571428571429,0,0,0.916666666666667,0.916666666666667,1,0,0,0.5,0,0.958333333333333,0.25,10,0.999940504521656,1,0.142857142857143,2.58393266119938e-05,"low","high","low","low","high",0.95,1,-0.275833333333333,-0.311875,0.230625,0.234166666666667,-0.0116666666666667,"3",0.0625165284337389,0.0529246837077285,0.145174054946566,0.0672460845878578,2,0,NA,0.98956163154493,-1.66595859106085,-0.441369128353901,-0.383,-0.199285714285714,-1.44951152500507,-1.48066625750459,-1.10129807207986,-1.8420339619018,1.08849516561677,1.01072460464575,-0.0502378241703631,0.9,0.05,1,1
